Date,Rating,Review,Name,Location,Rating_v1
9/28/2017,4.0 star rating,"I  really liked their menu set up. Fresh fish selection changed by the day, with a suggested preparation. 
I had an ahi steak which was a hearty portion and so tasty. Could barely finish it!
Tried a nibble of my brothers coconut crusted fish it was sooo good! 
They had a nice live singer with guitar.
The only reason I don't give this restaurant a full 5 stars is the ambience was loud and hectic. The bar was hopping and between that, the live music, having the raise my voice to speak to my server and a PACKED restaurant it just felt a little stressful. Our server had a great smile and sweet attitude,  but I sensed a bit of hurried panic in her eyes (lol)",Amy E.,"Fremont, CA",4.0 star rating
9/19/2017,5.0 star rating,"Went for dinner on our 1st night in Maui..my son is 15 and loves to cook and always picks out the restaurants.

He had parmesan crusted Mahi.  He said it was the best fish and caper sauce he ever had and would eat here every night.

The service, sounds of the Ocean, and food were outstanding!!!!",Jill C.,"Puerto Real, Puerto Rico",4.0 star rating
9/17/2017,3.0 star rating,"Beautiful beachfront restaurant in Lahaina town!

This is a beautiful restaurant & we came poorly dressed without a reservation, thank you for letting us dine!  We were a table behind the beachfront but still had gorgeous views.

Friendly customer service.  Good food.  This is the sister restaurant of a few popular places that I have previously dined at- Duke's, Jakes Del Mar, Hula Grill.  

Bread & Carrot Muffins:  Complimentary.
Macadamia Nut Calamari:  Chunky strips of calamari.  I wish these were thinly sliced rings instead.  I was not a fan of the texture or the bland taste.
Parmesan Crusted Mahi-Mahi:  This was good, but for the price, I expected better.  I say get their Hawaiian fish instead because our waitress said it was buttery & savory.
Prime Rib 14 oz.:  Even as the smaller cut, you could share this amongst 2.  Very hearty, corners of fat, a lot of food.
Original Hula Pie:  They also have a chef's creation Hula Pie but you cannot go wrong with the classic!  A must get when in Hawaii.  & a piece of pie this size needs to be shared!  I enjoyed the thick layer of chocolate alongside the sweet macadamia ice cream with the cookie crust crunch.  Mmm!",Saleen D.,"San Diego, CA",4.0 star rating
8/31/2017,5.0 star rating,"One of my My favorite restaurants in Maui  with a view and food to die for. 

You obviously want to try the fresh fish, however they are well known for their steaks and other dishes too. Fish isn't your thing? That's ok! They have kalua pork ribs, roasted chicken, and wonderful pastas too! 


1. Make a reservation and request a view next to the ocean. Take in the views and listen to the waves crash and their soft live music in the background. 
2. I recommend reservation at 6pm to see sunset while enjoying your meal. 
3. Order Mai tai - to die for 
4. My favorites I recommend are the kalua pork ribs, coconut crusted fish with Thai sauce and pineapple salsa.",Amber V.,"Las Vegas, NV",4.0 star rating
9/22/2017,4.0 star rating,"After lunch, we wanted to go people watch on the boardwalk and later grab a drink.  Kimo's fit the bill.  They had a large out door pavaillion facing the water.  It was a great experience to sit down, relax, and watch the surf and boats in Lahaina Harbor.  Touristy for sure, with prices to match, but so were we!  Would love to check out their menu next time.  Will repeat when my travels bring me back to Lahaina, recommend!",Dan O.,"Madison Heights, MI",4.0 star rating
8/30/2017,4.0 star rating,"We had two things to accomplish with this meal: we wanted a burger and we wanted to watch the sunset. Kimo's was right near ""Cheeseburger in Paradise"" which would be a normal 'go-to' - but using Yelp we found that the burgers at Kimo's are ""legendary,"" so of course we headed into Kimo's. 

We got a table right on the water in the bar area (which was perfect for us, being that we only wanted burgers and a beer). We absolutely loved the location. Watching the sunset was ideal, and they had an excellent band playing music during the sunset. It was the perfect setting. 

The staff was extremely friendly and knowledgeable, didn't seem weirded out that we only wanted a burger (the menu is quite pricier than just burgers), and remained friendly the entire meal. 

Our burgers were FANTASTIC. We absolutely loved them. They were so juicy and flavorful, I could have eaten one every night of our vacation if I wasn't concerned at all about fitting into a bikini at the same time. 

Overall, great place!",Shauna S.,"Campbell, CA",4.0 star rating
8/28/2017,3.0 star rating,"Came back to Kimo's and was disappointed to find out they no longer have the lobster sliders with truffle chips on their happy hour menu! That's pretty much why my sister and I would always go there when we visit Maui. Our waitress said they replaced that menu option with the buffalo chicken bites. We ordered that but it wasn't anything special or out of this world! It was typical of what you'd get at other places. Also, we got the Macadamia crusted calamari....still didn't get the Macadamia part. We also ordered the avocado poke stack. The poke wasn't really cold! I don't like poke that isn't cold. My sister did get their cheeseburger this time. It was huge and looked/smelled really good! She couldn't even finish it. She said it was juicy and tasty. 

This place is a nice, ocean-front spot. It is pretty pricey though. We went to Cafe O Lei at the Dunes  and our bill came out significantly less even though we ordered more (I've left a review and photos of what we ordered there so you can see). Unless they bring back the lobster sliders, there's really nothing that would call me to come back here.",Jackie O.,"Mililani, HI",4.0 star rating
7/19/2017,5.0 star rating,"I'd say this place is a bit on the higher end of meals but with a casual atmosphere.

Food: 5 stars
The food was really delicious and prepared beautifully. We ordered the wedge salad and coconut prawns which came with a delightful dipping sauce. Dinner consisted of the market fish and pork lettuce wraps (just ok) since we weren't starving at that point.
 
Service: 5 stars
Service was really great and it's nice that the server deals with the food and the bar sends other people out to bring drinks and take care of refills. Never experienced that before and thought it was a great idea.

Location: 5 stars
Located on the busy/fun Front street in Lahaina, this location offers an open air atmosphere which is really nice.",Sara M.,"Seattle, WA",4.0 star rating
6/19/2017,5.0 star rating,"It's funny because the only reason we came here was because my boyfriend's friend had the same name as the restaurant.. but who knew it'd turn out to be one of our favorite meals in Maui!

We were lucky enough to just get there right when they opened. We were just around the area snacking on shaved ice and crispy teri bites before coming here too! We didn't have reservations but we were seated upstairs and had a nice view of the ocean. 

Our server gave us his best recommendations and we chose from there. I ordered their coconut crusted marlin which had thai peanut sauce and maui gold pineapple salsa. My boyfriend went with their koloa pork ribs which was seasoned with plum bbq sauce and cooked traditional Koloa Kauai style. I loved both dishes! My boyfriend said their ribs were better than Firestone's in SLO. The meat was tender and easy to peel off! I wish the fish was served with mashed potatoes though, but that's alright, it was still delicious!

I definitely recommend trying this out if you're in Lahaina. Maybe make reservations so you can sit downstairs out near the ocean front!",Sydney C.,"San Francisco, CA",4.0 star rating
8/19/2017,3.0 star rating,"Kimo's is in a great location: right on Front Street near the outlets and right on the water where you can get a beautiful view of the water, the mountains, and the parasailers. One caution about sitting right next to the water, on the balcony, is that sometimes the waves that crash against the wall can splash up and get you. Our table actually had some water on it when they seated us, yet they didn't mention anything or offer to switch tables. It wasn't a huge hindrance, since it was hot and it only happened once or twice, but it is still something worth mentioning.

The menu doesn't really stand out from other restaurants in the area. There are options for seafood and meat. One thing that's cool is that all of the fish dishes change based on the daily catch! This adds some cool variation to the menu!

The prices seemed a bit more reasonable, but when the food arrived, I noticed that the portions were quite small. I ordered the coconut crusted fish, which had a good coconut flavor, but there was pretty much no pineapple salsa, and the fish itself was smaller than one of those tiny burgers you'd find on the McDonald's dollar menu.

In the end, Kimo's is a really enjoyable restaurant to eat at: with good views and friendly service. The location is great, and it would be a fine choice to make if you're strolling on Front Street. However, I feel like it'd be a place where I would want to get drinks and maybe some shareables instead of getting a full meal.",Austin T.,"Bellevue, WA",4.0 star rating
