Date,Rating,Review,Name,Location,Rating_v1
7/28/2017,5.0 star rating,"What a treat! We had a 6pm dinner reservation and started with drinks and appetizers. Our server, Aaron, has to be one of the best on Maui. We were treated so well, thank you, Aaron. 
Dinner was served about 4 minutes before sunset. Couldn't have timed it any better. The ambience, service, food, the entire experience was ALOHA. The manager, Austin, spent a few minutes with us. Great guy. 
We finished the evening with cheesecake and strawberry shortcake. 
We have a new favorite spot to celebrate n",J W.,"Lahaina, HI",3.0 star rating
4/7/2017,4.0 star rating,"We decided to eat at Relish Oceanside on our last morning for breakfast before checking out of the Westin and heading home. 

PROTIP: You have to be very specific of where you want to sit. There's kind of 2 sides to this place. There's the ""pool side"" area which was breakfast buffet serve yourself or you can ask to be seated on the oceanside and that side is full menu with waiter service. We asked to sit on the ocenside and the service was impeccable. It also might be important to mention that you cannot make reservations, so you'll need to go and wait once you put your name in. The wait wasn't too bad though, only about 10 minutes. 

For breakfast I had the coffee (which was delicious and strong) and an omelette which was great as well!!

My husband had the French toast and a side of Maui Gold pineapple spears. The French toast was ok, but the coconut syrup that it came with was delicious!! Of course the pineapple spears were amazing because....well they're Maui Gold pineapple spears. 

The location was beautiful. We had an amazing ocean view on the lovely patio. 

We really enjoyed this place as our last meal before leaving the beautiful Maui!!",Katie W.,"Corona, CA",3.0 star rating
9/2/2017,2.0 star rating,The only good thing about this restaurant is the view and the service.  We ordered most of the appetizers and an entree. The food wasn't very good.  I swear 1 of the drinks we ordered from the bar didn't even have alcohol in it.  The prices are outrageous for what you get and the quality of food is not on par with how much you are paying for it.  Like I said the only good thing is the view and the nice people that work their.,Richard M.,"Costa Mesa, CA",3.0 star rating
8/15/2017,5.0 star rating,"What a beautiful location for intimate dinner and enjoy the amazing sunset. The waiter Juan  was very attentive and thorough when explaining the menu. I ordered the rotisserie chicken with Brussels sprouts, prob one of the best meals I've had in a long time, the Brussels sprouts were full of flavor.",Dlite S.,"Rancho Palos Verdes, CA",3.0 star rating
8/8/2017,4.0 star rating,"Basing this review solely off of drinks, views and the nice atmosphere. They also have happy hour from 5-7pm, including $10 cocktails and $4 drafts! Definitely worth trying this place!",Steve C.,"Boston, MA",3.0 star rating
8/19/2017,1.0 star rating,The food is just horrible ..... I ordered the seafood hotspot. And turns out to be water boiled fish & shrimp with salt. And it doesn't even taste good.,Novac P.,"University Park, Los Angeles, CA",3.0 star rating
11/7/2016,2.0 star rating,"My husband and I had dinner here one night during our honeymoon in early October. We had a $150 dining credit from our Costco vacation package, so we wanted to use it. 

Reservations: We made a reservation for 6:15, right after sunset, from the Westin Maui website. We didn't need the reservation at all because it was pretty empty at that time. About half an hour to an hour after sunset, more people arrived, so a reservation might be a good idea if you're planning on eating here after 7:00 pm.

Ambiance: It is quite romantic and beautiful as it's right by the ocean, but since it was windy that night (well, the entire week), we were seated closer to the building than the ocean. We could still see the ocean, but it would've been more scenic if we were able to sit closer to the ocean. After the sun sets, there isn't much lighting, so your eyes have to adjust to the low lighting. I think a few more fire lights after the sun sets would have created a better lighting and sight experience. 

Food: We read from reviews that the food is alright, so we knew that going in. We ordered the pork belly buns, blue crab and macadamia nut mahi mahi, furikake seared ahi, a side of mashed potatoes, and a chocolate cake ice cream dessert. I liked the pork belly buns and the mashed potatoes the most, which is saying something. The mahi mahi and the ahi were just okay. We also ordered cocktails, which were too sweet for both of us. 

Service: Our server was extremely nice and accommodating. If we hadn't been using our $150 dining credit, then I would've asked the prices for the specials and for the side dishes, as they aren't listed on the menu. 

Overall: I'd recommend using your Maui Westin dining credits here. If you don't have any dining credits for any Maui Westin restaurants, then I'd suggest going elsewhere for food. Maui has so much good food to offer outside of its hotels and resorts!",Di W.,"Seattle, WA",3.0 star rating
12/29/2016,4.0 star rating,"My fiancée and I serendipitously decided to eat here on 12/20/2016.  We were happily surprised.  We split a Pupu Slate, House Salad, Taro Focaccia, Crab Mahi, and a Furikaka Ahi, plus a cocktail and wine.  Everything was served with a visually appealing presentation.  The pupus were varied and delicious.  The papaya seed dressing gave the salad a light and unusual flavor.  We both unexpectedly loved the taro focaccia.  The fish entrees were perfectly cooked.  The serving staff was attentive and helpful when we asked to move our table out of the wind.  Some people below griped about the price, but considering what we ordered and what something comparable would cost back home in Seattle, we thought it was a fair value.

My only gripe was the low level of overall illumination.  I see a few others complained about this below as well.  We had to use the flashlight apps in our phones a few times, which was annoying.  A little more warm light illumination would have made a more romantic atmosphere, too.  It was just a bit too dark for us where we happened to be sitting.  YMMV.",C D.,"Bothell, WA",3.0 star rating
8/16/2016,3.0 star rating,"Well deserved 3 stars for the view and atmosphere. The waiter & everyone was very welcoming I'll give that to them as well. However, the main point is the food and it wasn't appetizing. I had the pork belly steam buns and it looked like a dinner roll cut in half  with pork in the middle. The service took a while so I don't recommend this place for families with kids or who are in a rush to go somewhere. It's a great setting but the food options need a little work.",Maylene B.,"Wailuku, HI",3.0 star rating
8/8/2017,2.0 star rating,"Service was good, everything else was bad. The wine was terrible, the drinks terrible, the food was way over priced and extremely salty! Charged $5 for a side of rice! Would not recommend! Make a reservation or wait at any other restaurant in Kaanapali!",Jordan M.,"San Ramon, CA",3.0 star rating
