Date,Rating,Review,User name,UserLocation,AVG Rating
9/26/2017,5.0 star rating,"If you're staying in the Kaanapali area, this is a great spot. You can't beat the location - just steps from the beach and the ocean. It is typically very crowded, so you might have a wait. I believe they take reservations though. I ordered the Maui Onion, Walnut and Feta salad - but whoops, I'm an onion hater so they held the onions for me. I know, I'm a terrible person! The salad was scrumptious, something not often said about salads I order. I especially liked the fresh strawberries on it. 

Service is generally good, but can be on the slow side if your server is really slammed. Just get yourself into island time, enjoy the ocean breezes and don't let it bother you. I like to come back to Leilani's every chance I can get.",Christine B.,"Mesa, AZ",4.0 star rating
9/11/2017,5.0 star rating,"We had dinner there last night. We where not asked if we wanted to be upstairs or down stairs. Evidently two different menus, upstairs is more of a dinner menu and down stairs is more casual like could be a lunch menu. We were seated downstairs and happy to be seated after 25 minutes, they were busy and we didn't have reservation. We decided to eat here based on the menu that was offered upstairs. We had a great waiter and he brought us the menu from upstairs after I asked if this was the lunch menu. Lol.
Any way we ordered the seafood pasta, it was excellent with lobster, prawns, fish and scallops. The sauce was so good.
It's a good size dish my wife almost couldn't finish. We  will go back and have again before we leave.",Don H.,"Newman, CA",4.0 star rating
9/10/2017,3.0 star rating,"Meh... don't get the high ratings for anything other than the view. I was seated on the side of the building so I didn't even have that. 

I got the chef's tasting menu, with prawns and catch of the day: moon fish. The food was very mediocre and the mai tai was weak. What stood out is that the server was really friendly (Mark,  I think), he asked all about my vacation, and at least pretended to be engaged. As a solo traveler I appreciated being able to share my story. 

Did not realize until I got a card upon leaving, but this place is owned by the same company as Duke's, Kimos, and Hula Grill next door.",Sarah B.,"Los Angeles, CA",4.0 star rating
8/19/2017,4.0 star rating,"We really like the food here and the views are great the staff was good the menu choices were really good . all the food that we ordered was a top-notch and tasted really good the kids love the bread and the food the prices are a little high but where in Hawaii is cheap?? So overall we really like this place and if we ever come across one again we will definitely eat here for sure.

I would suggest the Mai Tai and the Long Island's for drinks and the fresh fish is definitely really good you can't beat it. I also ordered the crab cakes with which I think are the best crab cakes I've ever had anywhere really good. 

Overall really good experience would love the staff definitely go back and go here if you can",Patrick S.,"Torrance, CA",4.0 star rating
9/13/2017,5.0 star rating,"Loved this restaurant! And the food was amazing.  The place was very busy when we got there for dinner around 8pm Saturday night,  the wait was about 40 mins .  We just walked around and shopped a little while we waited. The restaurant is very spacious and it is two stories and water front.  It wad dark so we couldn't see the water, but we could hear the waves when the live music had intermission.  I had the Kona fish and it was truly delicious.  I don't remember what my companion ate, I was too busy enjoying my food! Lol. Yes, I would recommend this place.",Jaire Q.,"Houston, TX",4.0 star rating
7/20/2017,5.0 star rating,"We stayed at the Sheraton so Leilani's was a short walk. I can't remember how many times we went to Leilani's On the Beach for food and/or drinks, at least 5 times during our stay. The customer service is always on point.

We had to wait about 20 minutes the first time, maybe 15 minutes once, but the other times, they got us in right away. The food is good, our favorite was the sriracha-guava glazed wings. Wow those were perfectly delicious. The fries are also perfect. We also tried, the tacos, cuban sandwich, korean chicken sandwich, etc.  All were good.

Now, the Anuenue drink became our favorite drink EVER.  So perfect, our favorite flavors. Not to mention, it's a pretty drink :)  We ordered it every time.",Amy K.,"Omaha, NE",4.0 star rating
7/19/2017,4.0 star rating,"If you're staying at one of the resorts in this area , this is a good choice if you're looking for a family restaurant. 
The location is right on the beach, next to whalers village. It's not a fancy place, more like a simple beach restaurant. 
They have a good drinks menu, with a decent selection of both red and white wine. Service is very good, quick, efficient, friendly and knowledgeable. The food selection is good, they serve typical comfort food and some Hawaiian inspired dishes. My favorite appetizers include the popcorn shrimp and the nachos. The Caesar salad is fresh and crisp, with the right amount of dressing. The quality of the food is very good, I'd come back on any day. 
Just make sure to bring some time, especially for dinner. They don't take reservations, it's walk in only. They'll give you a buzzer, so you can still walk around the area.",Hans C.,Hong Kong,4.0 star rating
9/4/2017,4.0 star rating,"Great food, service and views. Portion sizes leave something to be desired but I can respect quality over quantity. We shared the kula veggies, poke bowl and fish tacos. The kula veggies were served over macadamia nut hummus (lemony garlic and nutty tasting). The fish tacos had avocado cabbage and a chipotle sauce. The poke was served with taro chips, cabbage and avocado cubes. Everything tasted great and we were able to enjoy beachfront views and live music.",Ian M.,"Arlington, VA",4.0 star rating
9/2/2017,4.0 star rating,"We came here for my girlfriend's birthday, making a reservation for it the day before. I asked for a table with a view of the sunset if it was possible and they were able to accommodate! The view really contributed to making dinner special.

Our server was very friendly and attentive, the drinks were delicious, and the food was all very good. I can't say that I've found myself craving anything I had at Leilani's after eating here, though dessert especially was wonderful, but it really was a treat.

To get here, we took a shuttle from our resort to the shopping area that Leilani's is a part of. The shopping around here is good entertainment if you arrive a little earlier than expected like we did or if you want to walk around a little bit after your meal like we did.",Maung A.,"Madison, WI",4.0 star rating
6/25/2017,3.0 star rating,"3 1/2 stars 

Decided to check this place out due to the reviews from other yelpers.

MAKE A RESERVATION!  This busy Whalers Village restaurant gets packed since it's right on the busy walk path.   I made a reservation thru OpenTable.   Showed up 20 min early and was seated about 5 min after we arrived.  I heard others being told an hour wait.

There is a second check in counter for walk ups.  

This restaurant has two levels so ask for the second level for best view.  We were seated by black rock side.

Pupus (appetizers for us East coast folks)
Jumbo lump crab cakes. - We definitely have a different definition of ""Jumbo"".  The two cakes were small and just  ""OK"" to me. 

Fresh Salad - Local tomato and fresh mozzarella - To me it was just ok.  VERY small portion on a large plate

Dinner
Hubby had the SESAME CRUSTED AHI* STEAK which was Coconut & citrus jasmine rice, shiitake-soy butter, grilled Kula asparagus.  He REALLY enjoyed it and is best eaten rare almost like sashimi 
Me - PARMESAN CRUSTED Mahi Mahi -Fresh herbs, lemon-caper reduction, farmer's market vegetables. LOVED this dinner.  The vegges were carrots and green pepper al dente.   
Kid had grilled chicken and french fries which he enjoyed

Dessert
We had to try the Kimo's hula pie since it was recommend by friends. So glad we did as the personalized plate had a large piece of hula pie.    Ours had a Chocolate cookie crust, ice cream, hot fudge, whipped cream.  We skipped the nuts and it came with homemade caramel topping.

The ocean view at this place is amazing.  we had a view of the black rock which was great as we could see the sun set.

The waitress was really nice and friendly.

So if we go back we would skip the appetizers as they felt super small and super expensive.
Dinner was very tasty and so worth the $$.  Dessert was also amazing.",Cindy M.,"Lansdowne, PA",4.0 star rating
